num,coordinate
90,"-0.217*""lot"" + -0.189*""shoulder"" + 0.174*""like"" + -0.167*""shape"" + -0.147*""cut"" + -0.145*""pictur"" + -0.144*""way"" + -0.139*""onlin"" + 0.137*""tri"" + -0.135*""casual"""
91,"-0.212*""easi"" + 0.203*""sleev"" + -0.196*""arm"" + 0.178*""pair"" + 0.172*""absolut"" + -0.163*""retail"" + -0.162*""expect"" + 0.146*""cut"" + -0.130*""want"" + 0.121*""medium"""
92,"-0.270*""go"" + -0.192*""print"" + -0.191*""design"" + 0.180*""absolut"" + 0.175*""shoulder"" + -0.165*""worn"" + 0.162*""piec"" + 0.141*""lot"" + 0.135*""front"" + -0.132*""button"""
93,"0.206*""cut"" + 0.190*""comfi"" + -0.175*""wish"" + -0.171*""one"" + 0.164*""summer"" + 0.139*""mani"" + 0.136*""gorgeou"" + -0.135*""thin"" + 0.126*""tunic"" + 0.125*""usual"""
94,"0.250*""light"" + -0.214*""lot"" + 0.176*""boxi"" + 0.171*""button"" + -0.163*""detail"" + 0.162*""weight"" + 0.156*""shape"" + -0.154*""want"" + 0.144*""high"" + 0.137*""tunic"""
95,"0.248*""lot"" + -0.211*""definit"" + 0.194*""absolut"" + -0.183*""bra"" + -0.168*""buy"" + 0.165*""summer"" + 0.148*""bought"" + -0.136*""light"" + -0.136*""wish"" + 0.134*""worn"""
96,"0.229*""could"" + 0.211*""usual"" + -0.200*""time"" + 0.192*""want"" + -0.175*""would"" + 0.162*""pictur"" + 0.158*""buy"" + 0.147*""absolut"" + -0.138*""wear"" + -0.138*""howev"""
97,"0.259*""shoulder"" + 0.216*""buy"" + -0.180*""pictur"" + 0.171*""thin"" + -0.170*""right"" + 0.169*""way"" + 0.154*""sleev"" + -0.153*""casual"" + 0.152*""bit"" + 0.152*""look"""
98,"0.318*""blue"" + -0.218*""definit"" + 0.215*""line"" + 0.201*""easi"" + -0.185*""boxi"" + 0.163*""print"" + 0.129*""pair"" + -0.121*""even"" + 0.116*""would"" + 0.114*""normal"""
99,"0.227*""buy"" + 0.221*""light"" + 0.202*""suit"" + -0.200*""also"" + 0.194*""lot"" + 0.157*""gorgeou"" + -0.151*""make"" + -0.150*""summer"" + 0.142*""day"" + 0.139*""way"""
